Dödsorsaksstatistik, Antal döda per 100 000, Ålder: 10-24
Diagnos;Region;Kön;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
X60­X84 Avsiktligt självdestruktiv handling (självmord);Riket;Män;8,17;7,31;9,99;7,81;7,32;9,66;7,07;10,64;8,18;8,48;8,33;10,78;10,54;9,86;9,89;9,47;11,51;10,15;8,00;8,07;9,88;10,35
X60­X84 Avsiktligt självdestruktiv handling (självmord);Riket;Kvinnor;4,81;3,77;4,14;3,46;2,65;3,22;4,50;4,33;4,77;6,30;4,38;5,20;5,43;3,89;4,50;4,52;5,84;4,77;5,15;4,67;5,02;6,19
X60­X84 Avsiktligt självdestruktiv handling (självmord);Stockholms län;Män;9,39;4,65;7,86;10,27;8,16;6,77;4,83;5,93;7,02;5,76;5,67;6,70;4,96;11,44;5,93;6,93;8,96;6,26;7,23;9,19;7,52;8,37
X60­X84 Avsiktligt självdestruktiv handling (självmord);Stockholms län;Kvinnor;8,19;4,05;4,66;3,26;2,56;4,39;4,32;5,48;1,21;5,36;4,69;4,04;5,13;3,38;3,34;7,16;12,00;3,79;6,99;3,74;6,35;4,18
X60­X84 Avsiktligt självdestruktiv handling (självmord);Uppsala län;Män;6,73;6,70;13,31;19,73;9,68;9,49;3,11;15,30;9,07;6,00;14,87;14,76;2,93;20,43;11,71;5,87;17,62;5,88;11,76;8,78;8,68;19,91
X60­X84 Avsiktligt självdestruktiv handling (självmord);Uppsala län;Kvinnor;9,98;3,32;3,29;9,77;6,40;6,30;9,33;3,07;3,05;6,07;3,03;6,04;5,99;8,96;­­;6,03;­­;6,05;­­;6,03;3,00;11,83
X60­X84 Avsiktligt självdestruktiv handling (självmord);Södermanlands län;Män;4,24;4,26;4,26;8,43;4,14;­­;3,98;3,94;3,92;3,92;­­;15,62;3,91;15,73;3,94;11,81;11,77;23,46;7,81;7,77;7,70;19,03
X60­X84 Avsiktligt självdestruktiv handling (självmord);Södermanlands län;Kvinnor;4,55;­­;­­;­­;­­;8,64;4,22;­­;4,15;8,30;4,16;­­;4,15;4,16;12,50;­­;4,17;4,17;4,18;4,17;4,15;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Östergötlands län;Män;7,42;7,44;4,96;2,46;12,08;16,63;7,01;11,52;­­;16,09;6,87;11,41;9,10;11,37;9,17;18,51;16,28;13,97;2,34;7,02;2,32;6,91
X60­X84 Avsiktligt självdestruktiv handling (självmord);Östergötlands län;Kvinnor;­­;5,39;­­;2,69;­­;7,82;2,56;2,52;7,51;7,50;4,98;2,49;4,96;­­;4,99;7,53;5,01;10,01;­­;­­;2,52;2,53
X60­X84 Avsiktligt självdestruktiv handling (självmord);Jönköpings län;Män;3,19;­­;19,10;­­;9,25;21,19;­­;14,80;8,84;5,86;5,83;2,90;8,74;5,89;11,91;12,02;30,25;12,13;9,09;9,05;5,98;8,88
X60­X84 Avsiktligt självdestruktiv handling (självmord);Jönköpings län;Kvinnor;6,75;3,38;10,12;3,34;­­;3,23;6,36;6,29;­­;3,11;­­;­­;6,17;6,25;­­;3,20;­­;­­;­­;­­;3,27;3,26
X60­X84 Avsiktligt självdestruktiv handling (självmord);Kronobergs län;Män;5,66;­­;5,71;­­;­­;5,64;11,12;­­;10,94;5,46;5,47;10,94;16,40;10,98;­­;11,09;16,69;­­;16,61;16,45;5,39;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Kronobergs län;Kvinnor;­­;6,11;­­;­­;­­;6,01;­­;5,86;­­;5,89;­­;17,58;­­;5,92;5,97;5,99;­­;­­;6,00;­­;5,96;17,78
X60­X84 Avsiktligt självdestruktiv handling (självmord);Kalmar län;Män;4,52;4,56;13,74;9,13;4,51;22,22;13,11;17,31;­­;8,66;­­;13,29;4,47;9,03;27,49;9,27;4,69;14,23;4,79;9,52;9,46;4,78
X60­X84 Avsiktligt självdestruktiv handling (självmord);Kalmar län;Kvinnor;4,86;­­;­­;4,92;­­;­­;9,29;4,58;13,67;­­;­­;4,66;9,47;4,81;­­;9,91;10,10;10,27;5,20;5,22;­­;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Gotlands län;Män;­­;18,25;18,19;54,24;­­;17,47;­­;33,67;­­;17,06;17,32;17,62;­­;17,83;17,96;18,29;­­;76,91;39,66;­­;­­;20,30
X60­X84 Avsiktligt självdestruktiv handling (självmord);Gotlands län;Kvinnor;­­;19,12;­­;18,68;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­;20,05;­­;­­;21,98;22,47;­­;22,86
X60­X84 Avsiktligt självdestruktiv handling (självmord);Blekinge län;Män;6,93;13,85;6,94;13,87;­­;­­;13,96;6,93;­­;6,88;­­;6,97;34,90;6,94;­­;14,02;14,14;7,08;6,97;20,44;6,71;13,46
X60­X84 Avsiktligt självdestruktiv handling (självmord);Blekinge län;Kvinnor;­­;­­;­­;­­;7,84;7,82;7,78;­­;7,73;­­;­­;­­;7,84;15,75;­­;­­;­­;­­;­­;24,16;­­;8,01
X60­X84 Avsiktligt självdestruktiv handling (självmord);Skåne län;Män;5,89;15,67;2,92;5,78;8,53;12,99;8,19;9,89;8,02;8,84;16,64;11,30;12,97;4,31;7,78;9,54;7,81;6,94;4,33;11,14;10,13;5,83
X60­X84 Avsiktligt självdestruktiv handling (självmord);Skåne län;Kvinnor;3,04;2,02;4,01;2,98;2,92;1,91;6,56;1,85;3,66;8,16;3,60;5,37;3,56;­­;4,44;1,79;5,38;2,70;4,51;4,50;5,36;3,54
X60­X84 Avsiktligt självdestruktiv handling (självmord);Hallands län;Män;­­;7,85;7,77;3,82;3,75;7,35;21,55;7,06;13,97;13,88;13,84;24,15;6,88;13,76;10,36;13,86;6,93;13,84;10,38;3,43;6,79;6,74
X60­X84 Avsiktligt självdestruktiv handling (självmord);Hallands län;Kvinnor;8,38;8,37;­­;4,10;­­;3,93;11,47;3,74;11,11;­­;3,65;3,65;3,65;7,30;7,36;­­;­­;­­;­­;7,52;3,74;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västra Götalands län;Män;7,36;1,47;8,76;8,65;6,35;10,34;5,41;10,68;10,60;6,59;7,23;12,47;14,45;7,26;8,64;7,35;7,38;8,71;7,37;5,35;11,98;7,29
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västra Götalands län;Kvinnor;3,10;6,96;8,46;3,79;4,46;2,18;2,14;6,33;4,19;7,65;6,24;6,93;6,92;4,86;4,89;5,62;4,93;4,93;2,83;9,23;8,52;7,81
X60­X84 Avsiktligt självdestruktiv handling (självmord);Värmlands län;Män;7,90;11,96;20,03;11,98;11,80;­­;15,21;15,06;18,82;18,85;15,11;15,20;22,95;15,40;42,83;11,82;23,85;8,04;4,06;4,08;12,28;4,13
X60­X84 Avsiktligt självdestruktiv handling (självmord);Värmlands län;Kvinnor;­­;­­;4,31;4,30;4,25;­­;16,39;12,10;4,02;12,06;4,03;4,04;8,12;4,09;4,16;4,21;8,50;8,61;4,37;4,40;­­;­­
